workbook_sheet,item_type,title,league,relationship,mechanic,format,existing_support,disposition,destination,imported_count,creator_reachable,public_reachable,provenance_status,notes
GAME_IDEAS_2026_EXPANSION,game_idea,Silhouette Reveal,CFB,"position, academic_year, hometown, jersey_number",Who Am I,Card Stack Progressive Clue,"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",IMPLEMENTED_NEW,tools/quiz_export/adapters/cfb_2026_current_roster.py,733,YES,NO,HUMAN_APPROVED,"Built this pass: guess-the-player-from-clues using real 2026 roster data (position/class/hometown), CARD_STACK-adjacent MCQ via the guess mechanic."
GAME_IDEAS_2026_EXPANSION,game_idea,Blind Resume,NFL,"season_stat_line, position_primary, draft_year_round_pick",Who Am I,Card Stack Progressive Clue,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Two Truths and a Transfer,CFB,"previous_college_history_ordered, hometown_city_state, bio_blurb",Multiple choice,Quiz-Show Podium,DATA PARTIAL - covered for some but not most P4 teams; expand before wide release,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook marks this DATA PARTIAL (covered for some but not most P4 teams) -- insufficient breadth to clear the player-facing quality gate honestly.
GAME_IDEAS_2026_EXPANSION,game_idea,Freshman Focus,CFB,"academic_year_or_experience, recruiting_star_rating, hometown_city_state",Progressive clue,Card Stack Progressive Clue,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Grad Transfer Gauntlet,CFB,"previous_college_history_ordered, academic_year_or_experience, jersey_number",Progressive clue,Card Stack Progressive Clue,"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",DATA_ADDED,n/a,,NO,NO,PENDING_CLAUDE,"Workbook marks this DATA READY nationally; a real, buildable follow-up once a Creator-facing adapter is written (not attempted this pass beyond Silhouette Reveal)."
GAME_IDEAS_2026_EXPANSION,game_idea,Walk-On to Starter,CFB,"walk_on_or_scholarship, depth_chart_role",Trivia,Quiz-Show Podium,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Position Versatility Check,Both,"position_primary, position_secondary",Multiple choice,Quiz-Show Podium,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Captain's Clue,Both,"captain_status, position_primary, academic_year_or_experience",Who Am I,Card Stack Progressive Clue,DATA READY - national (all 67 P4 teams already covered for this field),DATA_ADDED,n/a,,NO,NO,PENDING_CLAUDE,"Workbook marks this DATA READY nationally; a real, buildable follow-up once a Creator-facing adapter is written (not attempted this pass beyond Silhouette Reveal)."
GAME_IDEAS_2026_EXPANSION,game_idea,Injury Report Riddle,Both,"injury_availability_status, position_primary",Who Am I,Card Stack Progressive Clue,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Nickname Match,Both,"nickname, full_name",Matching,Grid Board (Tic-Tac-Toe style),DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Legacy Player Ladder,Both,bio_blurb,Trivia,Guess Ladder,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Roster Fingerprint: National,CFB,"jersey_number, academic_year_or_experience, hometown_city_state, high_school, height, weight_lb, position_primary",Progressive clue,Card Stack Progressive Clue,"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",DATA_ADDED,n/a,,NO,NO,PENDING_CLAUDE,"Workbook marks this DATA READY nationally; a real, buildable follow-up once a Creator-facing adapter is written (not attempted this pass beyond Silhouette Reveal)."
GAME_IDEAS_2026_EXPANSION,game_idea,Measurements Blackout,Both,"height, weight_lb",Higher/Lower,Guess Ladder,"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",DATA_ADDED,n/a,,NO,NO,PENDING_CLAUDE,"Workbook marks this DATA READY nationally; a real, buildable follow-up once a Creator-facing adapter is written (not attempted this pass beyond Silhouette Reveal)."
GAME_IDEAS_2026_EXPANSION,game_idea,"Same Number, National",CFB,"jersey_number, position_primary, team",Matching,Grid Board (Tic-Tac-Toe style),"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",MAPPED_TO_EXISTING,Immaculate Grid (renderGridBoard/renderCfbGridBoard),,NO,NO,PENDING_CLAUDE,"GRID_BOARD-style capability already live; this idea is a real variant of it, not new capability."
GAME_IDEAS_2026_EXPANSION,game_idea,Retired Number Recall,Both,retired_jersey_numbers,Trivia,Trophy Case Shelf,DATA NOT YET SOURCED - needs a new field from DATA_FIELD_TAXONOMY ingested first,BLOCKED_MISSING_DATA,n/a,,NO,NO,PENDING_CLAUDE,Workbook itself marks this DATA NOT YET SOURCED -- no field exists to build against.
GAME_IDEAS_2026_EXPANSION,game_idea,Number Roulette,Both,"jersey_number, team, position_primary",Randomizer,Wheel / Roulette Spinner,"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",DATA_ADDED,n/a,,NO,NO,PENDING_CLAUDE,"Workbook marks this DATA READY nationally; a real, buildable follow-up once a Creator-facing adapter is written (not attempted this pass beyond Silhouette Reveal)."
GAME_IDEAS_2026_EXPANSION,game_idea,Position Group Bingo,Both,"position_primary, team",Bingo/Grid,Grid Board (Tic-Tac-Toe style),"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",MAPPED_TO_EXISTING,Immaculate Grid (renderGridBoard/renderCfbGridBoard),,NO,NO,PENDING_CLAUDE,"GRID_BOARD-style capability already live; this idea is a real variant of it, not new capability."
GAME_IDEAS_2026_EXPANSION,game_idea,Odd Number Out,Both,"jersey_number, position_primary",Odd one out,Grid Board (Tic-Tac-Toe style),"DATA READY - sample teams only (the ~10 COMPLETE_RICH programs: Alabama, Georgia, Oklahoma, Ohio State, Oregon, Michigan, Tennessee, Texas, Texas A&M, UCLA)",MAPPED_TO_EXISTING,Immaculate Grid (renderGridBoard/renderCfbGridBoard),,NO,NO,PENDING_CLAUDE,"GRID_BOARD-style capability already live; this idea is a real variant of it, not new capability."
GAME_IDEAS_2026_EXPANSION,game_idea,Double Digit Duel,Both,jersey_number,Higher/Lower,Head-to-Head Split Screen,DATA READY - national (all 67 P4 teams already covered for this field),DATA_ADDED,n/a,,NO,NO,PENDING_CLAUDE,"Workbook marks this DATA READY nationally; a real, buildable follow-up once a Creator-facing adapter is written (not attempted this pass beyond Silhouette Reveal)."
GAME_IDEAS_2026_EXPANSION,game_idea,Position Side Showdown,CFB,position_side (derived),Sorting,Grid Board (Tic-Tac-Toe style),DATA READY - national (all 67 P4 teams already covered for this field),MAPPED_TO_EXISTING,Immaculate Grid (renderGridBoard/renderCfbGridBoard),,NO,NO,PENDING_CLAUDE,"GRID_BOARD-style capability already live; this idea is a real variant of it, not new capability."
